entry_time,exit_time,entry_price,exit_price,qty,reason,bars_held,be_arm_time,be_arm_bar,pnl_points,pnl_dollars,session
2020-12-10 22:40:00-05:00,2020-12-11 03:00:00-05:00,12367.75,12343.0,2,SL Yellow,13,,,-24.75,-990.0,2020-12-10
2020-12-11 15:00:00-05:00,2020-12-14 00:40:00-05:00,12375.75,12391.25,1,SL Yellow,29,,,15.5,310.0,2020-12-11
2020-12-14 02:00:00-05:00,2020-12-14 03:00:00-05:00,12415.25,12409.5,1,SL Yellow,3,,,-5.75,-115.0,2020-12-14
2020-12-14 04:20:00-05:00,2020-12-14 08:00:00-05:00,12416.5,12422.25,2,SL Yellow,11,,,5.75,230.0,2020-12-14
2020-12-14 19:00:00-05:00,2020-12-14 21:20:00-05:00,12476.5,12448.0,1,SL Yellow,7,,,-28.5,-570.0,2020-12-14
2020-12-14 22:00:00-05:00,2020-12-15 07:00:00-05:00,12457.75,12537.5,2,TP Green,27,,,79.75,3190.0,2020-12-14
2020-12-15 19:00:00-05:00,2020-12-16 06:20:00-05:00,12588.5,12626.5,1,SL Yellow,34,,,38.0,760.0,2020-12-15
2020-12-16 11:20:00-05:00,2020-12-16 14:00:00-05:00,12645.75,12620.25,1,SL Yellow,8,,,-25.5,-510.0,2020-12-16
2020-12-16 14:20:00-05:00,2020-12-17 02:20:00-05:00,12668.25,12728.0,2,TP Green,34,,,59.75,2390.0,2020-12-16
2020-12-17 19:00:00-05:00,2020-12-17 21:40:00-05:00,12745.25,12722.0,1,SL Yellow,8,,,-23.25,-465.0,2020-12-17
2020-12-17 22:00:00-05:00,2020-12-18 00:00:00-05:00,12726.5,12714.25,2,SL Yellow,6,,,-12.25,-490.0,2020-12-17
2020-12-18 00:40:00-05:00,2020-12-18 05:20:00-05:00,12720.75,12739.5,1,SL Yellow,14,,,18.75,375.0,2020-12-18
2020-12-20 19:00:00-05:00,2020-12-21 02:00:00-05:00,12739.0,12724.75,1,SL Yellow,21,,,-14.25,-285.0,2020-12-20
2020-12-21 19:00:00-05:00,2020-12-21 23:40:00-05:00,12703.25,12689.75,2,SL Yellow,14,,,-13.5,-540.0,2020-12-21
2020-12-22 03:00:00-05:00,2020-12-22 08:00:00-05:00,12694.0,12749.75,1,Force Close,15,,,55.75,1115.0,2020-12-22
2020-12-22 19:00:00-05:00,2020-12-22 19:40:00-05:00,12714.5,12647.25,1,SL Yellow,2,,,-67.25,-1345.0,2020-12-22
2020-12-22 20:00:00-05:00,2020-12-23 06:40:00-05:00,12675.75,12717.75,2,SL Yellow,32,,,42.0,1680.0,2020-12-22
2020-12-23 07:20:00-05:00,2020-12-23 08:00:00-05:00,12721.25,12711.75,1,Force Close,2,,,-9.5,-190.0,2020-12-23
2020-12-23 19:00:00-05:00,2020-12-24 08:00:00-05:00,12653.5,12666.75,2,Force Close,39,,,13.25,530.0,2020-12-23
2020-12-27 19:00:00-05:00,2020-12-28 03:00:00-05:00,12731.5,12772.0,1,SL Yellow,24,,,40.5,810.0,2020-12-27
2020-12-28 03:20:00-05:00,2020-12-28 08:00:00-05:00,12781.75,12808.5,1,Force Close,14,,,26.75,535.0,2020-12-28
2020-12-28 19:00:00-05:00,2020-12-29 05:00:00-05:00,12859.25,12884.5,1,SL Yellow,30,,,25.25,505.0,2020-12-28
2020-12-29 05:40:00-05:00,2020-12-29 08:00:00-05:00,12886.75,12892.25,1,Force Close,7,,,5.5,110.0,2020-12-29
2020-12-29 19:00:00-05:00,2020-12-30 07:00:00-05:00,12836.0,12882.75,1,TP Green,36,,,46.75,935.0,2020-12-29
2020-12-30 19:00:00-05:00,2020-12-30 23:20:00-05:00,12854.25,12842.0,1,SL Yellow,13,,,-12.25,-245.0,2020-12-30
2020-12-31 00:00:00-05:00,2020-12-31 03:00:00-05:00,12845.25,12836.5,2,SL Yellow,9,,,-8.75,-350.0,2020-12-31
2020-12-31 03:20:00-05:00,2020-12-31 08:00:00-05:00,12846.25,12849.75,1,SL Yellow,14,,,3.5,70.0,2020-12-31
2021-01-03 19:00:00-05:00,2021-01-04 02:00:00-05:00,12845.25,12923.25,1,TP Green,21,,,78.0,1560.0,2021-01-03
2021-01-04 19:00:00-05:00,2021-01-04 22:40:00-05:00,12683.0,12689.5,1,SL Yellow,11,,,6.5,130.0,2021-01-04
2021-01-05 01:00:00-05:00,2021-01-05 02:40:00-05:00,12696.75,12654.5,1,SL Yellow,5,,,-42.25,-845.0,2021-01-05
2021-01-05 03:00:00-05:00,2021-01-05 06:40:00-05:00,12699.25,12689.75,2,SL Yellow,11,,,-9.5,-380.0,2021-01-05
2021-01-05 19:00:00-05:00,2021-01-05 19:40:00-05:00,12801.0,12782.75,1,SL Yellow,2,,,-18.25,-365.0,2021-01-05
2021-01-06 19:00:00-05:00,2021-01-07 02:00:00-05:00,12666.0,12738.75,2,TP Green,21,,,72.75,2910.0,2021-01-06
2021-01-07 19:00:00-05:00,2021-01-08 04:20:00-05:00,12946.75,12959.0,1,SL Yellow,28,,,12.25,245.0,2021-01-07
2021-01-08 04:40:00-05:00,2021-01-08 08:00:00-05:00,12977.0,12998.75,1,Force Close,10,,,21.75,435.0,2021-01-08
2021-01-10 19:00:00-05:00,2021-01-10 21:00:00-05:00,13072.5,13029.25,1,SL Yellow,6,,,-43.25,-865.0,2021-01-10
2021-01-10 21:20:00-05:00,2021-01-11 04:40:00-05:00,13043.75,13037.25,2,SL Yellow,22,,,-6.5,-260.0,2021-01-10
2021-01-11 05:00:00-05:00,2021-01-11 07:00:00-05:00,13041.25,13025.25,1,SL Yellow,6,,,-16.0,-320.0,2021-01-11
2021-01-11 19:00:00-05:00,2021-01-11 23:20:00-05:00,12926.25,12897.5,2,SL Yellow,13,,,-28.75,-1150.0,2021-01-11
2021-01-12 00:00:00-05:00,2021-01-12 08:00:00-05:00,12908.5,12932.25,1,Force Close,24,,,23.75,475.0,2021-01-12
2021-01-12 19:00:00-05:00,2021-01-13 05:20:00-05:00,12895.5,12879.0,1,SL Yellow,31,,,-16.5,-330.0,2021-01-12
2021-01-13 09:40:00-05:00,2021-01-13 19:20:00-05:00,12920.0,12992.25,2,TP Green,27,,,72.25,2890.0,2021-01-13
2021-01-14 19:00:00-05:00,2021-01-14 22:40:00-05:00,12914.75,12883.5,1,SL Yellow,11,,,-31.25,-625.0,2021-01-14
2021-01-14 23:20:00-05:00,2021-01-15 00:00:00-05:00,12888.25,12837.75,2,SL Yellow,2,,,-50.5,-2020.0,2021-01-14
2021-01-15 01:40:00-05:00,2021-01-15 06:00:00-05:00,12863.25,12857.25,1,SL Yellow,13,,,-6.0,-120.0,2021-01-15
2021-01-17 19:00:00-05:00,2021-01-18 06:00:00-05:00,12749.25,12810.5,2,TP Green,33,,,61.25,2450.0,2021-01-17
2021-01-18 19:00:00-05:00,2021-01-18 22:20:00-05:00,12844.5,12934.75,1,TP Green,10,,,90.25,1805.0,2021-01-18
2021-01-19 19:00:00-05:00,2021-01-20 07:20:00-05:00,13039.0,13092.0,1,TP Green,37,,,53.0,1060.0,2021-01-19
2021-01-20 19:00:00-05:00,2021-01-21 01:20:00-05:00,13310.0,13347.0,1,SL Yellow,19,,,37.0,740.0,2021-01-20
2021-01-21 10:00:00-05:00,2021-01-21 12:00:00-05:00,13371.5,13326.75,1,SL Yellow,6,,,-44.75,-895.0,2021-01-21
2021-01-21 12:40:00-05:00,2021-01-21 18:00:00-05:00,13355.75,13380.25,2,SL Yellow,14,,,24.5,980.0,2021-01-21
2021-01-21 19:00:00-05:00,2021-01-21 21:00:00-05:00,13389.75,13345.0,1,SL Yellow,6,,,-44.75,-895.0,2021-01-21
2021-01-22 09:40:00-05:00,2021-01-22 10:20:00-05:00,13388.0,13327.5,2,SL Yellow,2,,,-60.5,-2420.0,2021-01-22
2021-01-22 10:40:00-05:00,2021-01-22 16:00:00-05:00,13349.75,13358.25,1,SL Yellow,16,,,8.5,170.0,2021-01-22
2021-01-24 19:00:00-05:00,2021-01-25 02:40:00-05:00,13401.5,13473.25,1,TP Green,23,,,71.75,1435.0,2021-01-24
2021-01-25 19:00:00-05:00,2021-01-25 23:20:00-05:00,13460.0,13388.0,1,SL Yellow,13,,,-72.0,-1440.0,2021-01-25
2021-01-26 03:20:00-05:00,2021-01-26 08:00:00-05:00,13433.0,13461.5,2,Force Close,14,,,28.5,1140.0,2021-01-26
2021-01-26 19:00:00-05:00,2021-01-27 03:00:00-05:00,13558.75,13535.75,1,SL Yellow,24,,,-23.0,-460.0,2021-01-26
2021-01-27 03:20:00-05:00,2021-01-27 05:40:00-05:00,13545.75,13529.5,2,SL Yellow,7,,,-16.25,-650.0,2021-01-27
2021-01-27 19:00:00-05:00,2021-01-27 23:20:00-05:00,12999.5,13022.25,1,SL Yellow,13,,,22.75,455.0,2021-01-27
2021-01-28 00:00:00-05:00,2021-01-28 02:20:00-05:00,13054.75,12984.0,1,SL Yellow,7,,,-70.75,-1415.0,2021-01-28
2021-01-28 02:40:00-05:00,2021-01-28 03:40:00-05:00,13002.25,12946.25,2,SL Yellow,3,,,-56.0,-2240.0,2021-01-28
2021-01-28 19:00:00-05:00,2021-01-28 20:40:00-05:00,13154.5,13076.75,1,SL Yellow,5,,,-77.75,-1555.0,2021-01-28
2021-01-29 06:20:00-05:00,2021-01-29 08:00:00-05:00,13092.0,13082.75,2,Force Close,5,,,-9.25,-370.0,2021-01-29
2021-01-31 19:00:00-05:00,2021-01-31 22:40:00-05:00,12824.75,12935.25,1,TP Green,11,,,110.5,2210.0,2021-01-31
2021-02-01 19:00:00-05:00,2021-02-01 21:20:00-05:00,13244.25,13363.0,1,TP Green,7,,,118.75,2375.0,2021-02-01
2021-02-02 19:00:00-05:00,2021-02-03 02:40:00-05:00,13488.0,13575.25,1,TP Green,23,,,87.25,1745.0,2021-02-02
2021-02-03 19:00:00-05:00,2021-02-03 22:20:00-05:00,13440.25,13404.5,1,SL Yellow,10,,,-35.75,-715.0,2021-02-03
2021-02-04 01:40:00-05:00,2021-02-04 06:40:00-05:00,13422.75,13423.25,2,SL Yellow,15,,,0.5,20.0,2021-02-04
2021-02-04 07:00:00-05:00,2021-02-04 08:00:00-05:00,13451.25,13460.5,1,Force Close,3,,,9.25,185.0,2021-02-04
2021-02-04 19:00:00-05:00,2021-02-05 03:40:00-05:00,13550.0,13582.5,1,SL Yellow,26,,,32.5,650.0,2021-02-04
2021-02-05 05:40:00-05:00,2021-02-05 08:00:00-05:00,13592.0,13579.25,1,SL Yellow,7,,,-12.75,-255.0,2021-02-05
2021-02-05 08:20:00-05:00,2021-02-05 09:40:00-05:00,13601.0,13544.0,2,SL Yellow,4,,,-57.0,-2280.0,2021-02-05
2021-02-07 19:00:00-05:00,2021-02-08 02:40:00-05:00,13640.25,13661.25,1,SL Yellow,23,,,21.0,420.0,2021-02-07
2021-02-08 09:00:00-05:00,2021-02-08 11:20:00-05:00,13670.25,13612.25,1,SL Yellow,7,,,-58.0,-1160.0,2021-02-08
2021-02-08 13:20:00-05:00,2021-02-08 19:20:00-05:00,13648.0,13661.5,2,SL Yellow,16,,,13.5,540.0,2021-02-08
2021-02-08 19:40:00-05:00,2021-02-09 02:00:00-05:00,13669.5,13669.25,1,SL Yellow,19,,,-0.25,-5.0,2021-02-08
2021-02-09 02:40:00-05:00,2021-02-09 06:00:00-05:00,13672.25,13658.25,2,SL Yellow,10,,,-14.0,-560.0,2021-02-09
2021-02-09 19:00:00-05:00,2021-02-10 02:20:00-05:00,13683.25,13760.0,1,TP Green,22,,,76.75,1535.0,2021-02-09
2021-02-10 19:00:00-05:00,2021-02-11 04:40:00-05:00,13638.0,13705.75,1,TP Green,29,,,67.75,1355.0,2021-02-10
2021-02-11 19:00:00-05:00,2021-02-12 02:40:00-05:00,13732.75,13699.0,1,SL Yellow,23,,,-33.75,-675.0,2021-02-11
2021-02-12 03:00:00-05:00,2021-02-12 08:00:00-05:00,13713.25,13712.0,2,Force Close,15,,,-1.25,-50.0,2021-02-12
2021-02-14 19:00:00-05:00,2021-02-15 01:40:00-05:00,13846.0,13838.0,1,SL Yellow,20,,,-8.0,-160.0,2021-02-14
2021-02-15 02:20:00-05:00,2021-02-15 08:00:00-05:00,13838.75,13842.0,2,Force Close,17,,,3.25,130.0,2021-02-15
2021-02-15 19:00:00-05:00,2021-02-16 00:20:00-05:00,13867.0,13882.25,1,SL Yellow,16,,,15.25,305.0,2021-02-15
2021-02-16 19:00:00-05:00,2021-02-17 03:00:00-05:00,13717.25,13735.5,1,SL Yellow,24,,,18.25,365.0,2021-02-16
2021-02-17 03:20:00-05:00,2021-02-17 04:20:00-05:00,13763.0,13743.5,1,SL Yellow,3,,,-19.5,-390.0,2021-02-17
2021-02-17 19:00:00-05:00,2021-02-17 20:20:00-05:00,13711.25,13684.0,2,SL Yellow,4,,,-27.25,-1090.0,2021-02-17
2021-02-17 21:40:00-05:00,2021-02-17 23:00:00-05:00,13695.0,13620.25,1,SL Yellow,4,,,-74.75,-1495.0,2021-02-17
2021-02-18 15:00:00-05:00,2021-02-18 18:40:00-05:00,13656.5,13611.75,2,SL Yellow,9,,,-44.75,-1790.0,2021-02-18
2021-02-18 19:00:00-05:00,2021-02-18 20:20:00-05:00,13617.75,13571.75,1,SL Yellow,4,,,-46.0,-920.0,2021-02-18
2021-02-19 00:00:00-05:00,2021-02-19 05:20:00-05:00,13604.0,13680.0,2,TP Green,16,,,76.0,3040.0,2021-02-19
2021-02-21 19:00:00-05:00,2021-02-21 21:20:00-05:00,13599.0,13563.0,1,SL Yellow,7,,,-36.0,-720.0,2021-02-21
2021-02-22 19:00:00-05:00,2021-02-22 23:20:00-05:00,13214.25,13321.5,2,TP Green,13,,,107.25,4290.0,2021-02-22
2021-02-23 19:00:00-05:00,2021-02-23 22:00:00-05:00,13162.5,13154.5,1,SL Yellow,9,,,-8.0,-160.0,2021-02-23
2021-02-24 04:00:00-05:00,2021-02-24 06:20:00-05:00,13197.0,13168.0,2,SL Yellow,7,,,-29.0,-1160.0,2021-02-24
2021-02-24 06:40:00-05:00,2021-02-24 08:00:00-05:00,13176.75,13264.5,1,Force Close,4,,,87.75,1755.0,2021-02-24
2021-02-24 19:00:00-05:00,2021-02-25 02:20:00-05:00,13319.5,13289.5,1,SL Yellow,22,,,-30.0,-600.0,2021-02-24
2021-02-25 19:00:00-05:00,2021-02-25 21:20:00-05:00,12726.25,12830.25,2,TP Green,7,,,104.0,4160.0,2021-02-25
2021-02-28 19:00:00-05:00,2021-03-01 02:00:00-05:00,13013.25,13111.5,1,TP Green,21,,,98.25,1965.0,2021-02-28
2021-03-01 19:00:00-05:00,2021-03-01 20:40:00-05:00,13316.5,13283.0,1,SL Yellow,5,,,-33.5,-670.0,2021-03-01
2021-03-01 21:00:00-05:00,2021-03-02 00:00:00-05:00,13299.5,13221.25,2,SL Yellow,9,,,-78.25,-3130.0,2021-03-01
2021-03-02 01:00:00-05:00,2021-03-02 02:40:00-05:00,13256.25,13193.0,1,SL Yellow,5,,,-63.25,-1265.0,2021-03-02
2021-03-02 19:00:00-05:00,2021-03-03 02:20:00-05:00,13091.5,13174.5,2,TP Green,22,,,83.0,3320.0,2021-03-02
2021-03-03 19:00:00-05:00,2021-03-03 21:40:00-05:00,12622.75,12587.75,1,SL Yellow,8,,,-35.0,-700.0,2021-03-03
2021-03-03 22:00:00-05:00,2021-03-04 03:00:00-05:00,12601.5,12690.5,2,TP Green,15,,,89.0,3560.0,2021-03-03
2021-03-04 19:00:00-05:00,2021-03-05 02:20:00-05:00,12379.25,12389.25,1,SL Yellow,22,,,10.0,200.0,2021-03-04
2021-03-05 03:40:00-05:00,2021-03-05 08:00:00-05:00,12412.5,12467.0,1,Force Close,13,,,54.5,1090.0,2021-03-05
2021-03-07 19:00:00-05:00,2021-03-07 21:20:00-05:00,12618.0,12564.75,1,SL Yellow,7,,,-53.25,-1065.0,2021-03-07
2021-03-08 08:40:00-05:00,2021-03-08 11:20:00-05:00,12611.0,12578.25,2,SL Yellow,8,,,-32.75,-1310.0,2021-03-08
2021-03-08 19:00:00-05:00,2021-03-09 01:20:00-05:00,12374.5,12396.0,1,SL Yellow,19,,,21.5,430.0,2021-03-08
2021-03-09 02:20:00-05:00,2021-03-09 04:20:00-05:00,12449.25,12555.75,1,TP Green,6,,,106.5,2130.0,2021-03-09
2021-03-09 19:00:00-05:00,2021-03-09 20:20:00-05:00,12791.75,12748.25,1,SL Yellow,4,,,-43.5,-870.0,2021-03-09
2021-03-09 23:20:00-05:00,2021-03-10 00:00:00-05:00,12788.75,12734.25,2,SL Yellow,2,,,-54.5,-2180.0,2021-03-09
2021-03-10 00:20:00-05:00,2021-03-10 06:00:00-05:00,12763.25,12766.25,1,SL Yellow,17,,,3.0,60.0,2021-03-10
2021-03-10 19:00:00-05:00,2021-03-11 01:40:00-05:00,12762.5,12872.75,1,TP Green,20,,,110.25,2205.0,2021-03-10
2021-03-11 19:00:00-05:00,2021-03-11 21:20:00-05:00,13067.0,13020.0,1,SL Yellow,7,,,-47.0,-940.0,2021-03-11
2021-03-11 23:40:00-05:00,2021-03-12 01:00:00-05:00,13057.25,12995.5,2,SL Yellow,4,,,-61.75,-2470.0,2021-03-11
2021-03-12 01:20:00-05:00,2021-03-12 02:00:00-05:00,13003.25,12922.75,1,SL Yellow,2,,,-80.5,-1610.0,2021-03-12
2021-03-14 19:00:00-04:00,2021-03-14 22:40:00-04:00,12947.5,12951.0,2,SL Yellow,11,,,3.5,140.0,2021-03-14
2021-03-15 05:00:00-04:00,2021-03-15 07:20:00-04:00,12965.5,12935.75,1,SL Yellow,7,,,-29.75,-595.0,2021-03-15
2021-03-15 09:40:00-04:00,2021-03-15 10:20:00-04:00,12944.75,12909.25,2,SL Yellow,2,,,-35.5,-1420.0,2021-03-15
2021-03-15 19:00:00-04:00,2021-03-16 02:40:00-04:00,13068.75,13152.25,1,TP Green,23,,,83.5,1670.0,2021-03-15
2021-03-16 19:00:00-04:00,2021-03-16 21:20:00-04:00,13163.75,13111.25,1,SL Yellow,7,,,-52.5,-1050.0,2021-03-16
2021-03-16 21:40:00-04:00,2021-03-17 05:40:00-04:00,13128.5,13099.75,2,SL Yellow,24,,,-28.75,-1150.0,2021-03-16
2021-03-17 14:20:00-04:00,2021-03-17 20:00:00-04:00,13136.75,13247.5,1,TP Green,15,,,110.75,2215.0,2021-03-17
2021-03-18 19:00:00-04:00,2021-03-18 22:40:00-04:00,12784.25,12771.0,1,SL Yellow,11,,,-13.25,-265.0,2021-03-18
2021-03-18 23:20:00-04:00,2021-03-19 02:00:00-04:00,12786.25,12721.75,2,SL Yellow,8,,,-64.5,-2580.0,2021-03-18
2021-03-19 02:40:00-04:00,2021-03-19 08:00:00-04:00,12805.0,12861.75,1,Force Close,16,,,56.75,1135.0,2021-03-19
2021-03-21 19:00:00-04:00,2021-03-22 06:00:00-04:00,12852.25,12941.25,1,TP Green,33,,,89.0,1780.0,2021-03-21
2021-03-22 19:00:00-04:00,2021-03-22 20:20:00-04:00,13076.75,13066.75,1,SL Yellow,4,,,-10.0,-200.0,2021-03-22
2021-03-23 07:20:00-04:00,2021-03-23 08:00:00-04:00,13088.0,13070.5,2,Force Close,2,,,-17.5,-700.0,2021-03-23
2021-03-23 19:00:00-04:00,2021-03-23 22:00:00-04:00,13020.0,13037.0,1,SL Yellow,9,,,17.0,340.0,2021-03-23
2021-03-23 23:00:00-04:00,2021-03-24 02:20:00-04:00,13041.25,13029.25,1,SL Yellow,10,,,-12.0,-240.0,2021-03-23
2021-03-24 02:40:00-04:00,2021-03-24 04:40:00-04:00,13039.0,13131.0,2,TP Green,6,,,92.0,3680.0,2021-03-24
2021-03-24 19:00:00-04:00,2021-03-24 21:00:00-04:00,12810.0,12787.75,1,SL Yellow,6,,,-22.25,-445.0,2021-03-24
2021-03-24 21:40:00-04:00,2021-03-25 05:00:00-04:00,12794.0,12819.75,2,SL Yellow,22,,,25.75,1030.0,2021-03-24
2021-03-25 05:20:00-04:00,2021-03-25 07:20:00-04:00,12821.75,12770.75,1,SL Yellow,6,,,-51.0,-1020.0,2021-03-25
2021-03-25 19:00:00-04:00,2021-03-26 02:20:00-04:00,12801.0,12867.5,2,TP Green,22,,,66.5,2660.0,2021-03-25
2021-03-28 19:00:00-04:00,2021-03-28 21:00:00-04:00,12936.75,12856.75,1,SL Yellow,6,,,-80.0,-1600.0,2021-03-28
2021-03-28 22:00:00-04:00,2021-03-29 01:00:00-04:00,12895.75,12833.0,2,SL Yellow,9,,,-62.75,-2510.0,2021-03-28
2021-03-29 02:20:00-04:00,2021-03-29 07:00:00-04:00,12865.5,12959.0,1,TP Green,14,,,93.5,1870.0,2021-03-29
2021-03-29 19:00:00-04:00,2021-03-29 21:00:00-04:00,12972.25,12934.25,1,SL Yellow,6,,,-38.0,-760.0,2021-03-29
2021-03-30 19:00:00-04:00,2021-03-30 22:20:00-04:00,12877.25,12877.75,2,SL Yellow,10,,,0.5,20.0,2021-03-30
2021-03-30 23:00:00-04:00,2021-03-31 06:40:00-04:00,12889.0,12958.75,1,TP Green,23,,,69.75,1395.0,2021-03-30
2021-03-31 19:00:00-04:00,2021-04-01 03:00:00-04:00,13107.75,13167.25,1,TP Green,24,,,59.5,1190.0,2021-03-31
2021-04-01 19:00:00-04:00,2021-04-02 01:40:00-04:00,13332.5,13348.25,1,SL Yellow,20,,,15.75,315.0,2021-04-01
2021-04-02 02:00:00-04:00,2021-04-02 06:20:00-04:00,13353.75,13350.75,1,SL Yellow,13,,,-3.0,-60.0,2021-04-02
2021-04-02 07:00:00-04:00,2021-04-02 08:00:00-04:00,13356.75,13358.25,2,Force Close,3,,,1.5,60.0,2021-04-02
2021-04-04 19:00:00-04:00,2021-04-04 20:00:00-04:00,13326.75,13333.0,1,SL Yellow,3,,,6.25,125.0,2021-04-04
2021-04-04 20:20:00-04:00,2021-04-04 22:40:00-04:00,13344.25,13322.5,1,SL Yellow,7,,,-21.75,-435.0,2021-04-04
2021-04-04 23:00:00-04:00,2021-04-05 03:20:00-04:00,13323.75,13315.5,2,SL Yellow,13,,,-8.25,-330.0,2021-04-04
2021-04-05 19:00:00-04:00,2021-04-05 21:00:00-04:00,13619.0,13589.0,1,SL Yellow,6,,,-30.0,-600.0,2021-04-05
2021-04-06 08:20:00-04:00,2021-04-06 13:00:00-04:00,13601.0,13581.25,2,SL Yellow,14,,,-19.75,-790.0,2021-04-06
2021-04-06 19:00:00-04:00,2021-04-06 21:40:00-04:00,13591.5,13556.75,1,SL Yellow,8,,,-34.75,-695.0,2021-04-06
2021-04-07 02:00:00-04:00,2021-04-07 04:00:00-04:00,13576.0,13580.75,2,SL Yellow,6,,,4.75,190.0,2021-04-07
2021-04-07 04:20:00-04:00,2021-04-07 07:40:00-04:00,13588.25,13564.25,1,SL Yellow,10,,,-24.0,-480.0,2021-04-07
2021-04-07 19:00:00-04:00,2021-04-07 23:40:00-04:00,13618.0,13700.0,2,TP Green,14,,,82.0,3280.0,2021-04-07
2021-04-08 19:00:00-04:00,2021-04-08 21:40:00-04:00,13785.5,13810.5,1,SL Yellow,8,,,25.0,500.0,2021-04-08
2021-04-09 15:20:00-04:00,2021-04-11 19:20:00-04:00,13814.75,13776.5,1,SL Yellow,10,,,-38.25,-765.0,2021-04-09
2021-04-11 20:40:00-04:00,2021-04-12 06:20:00-04:00,13803.5,13784.0,2,SL Yellow,29,,,-19.5,-780.0,2021-04-11
2021-04-12 08:40:00-04:00,2021-04-12 09:40:00-04:00,13799.75,13765.5,1,SL Yellow,3,,,-34.25,-685.0,2021-04-12
2021-04-12 19:00:00-04:00,2021-04-12 23:40:00-04:00,13811.25,13802.75,2,SL Yellow,14,,,-8.5,-340.0,2021-04-12
2021-04-13 03:20:00-04:00,2021-04-13 06:20:00-04:00,13809.5,13797.5,1,SL Yellow,9,,,-12.0,-240.0,2021-04-13
2021-04-13 07:20:00-04:00,2021-04-13 08:00:00-04:00,13806.5,13823.0,2,Force Close,2,,,16.5,660.0,2021-04-13
2021-04-13 19:00:00-04:00,2021-04-13 22:40:00-04:00,13966.0,13964.5,1,SL Yellow,11,,,-1.5,-30.0,2021-04-13
2021-04-13 23:00:00-04:00,2021-04-14 08:00:00-04:00,13968.25,14019.5,2,Force Close,27,,,51.25,2050.0,2021-04-13
2021-04-14 19:00:00-04:00,2021-04-14 22:40:00-04:00,13823.75,13792.75,1,SL Yellow,11,,,-31.0,-620.0,2021-04-14
2021-04-14 23:00:00-04:00,2021-04-15 03:20:00-04:00,13801.5,13884.5,2,TP Green,13,,,83.0,3320.0,2021-04-14
2021-04-15 19:00:00-04:00,2021-04-15 20:40:00-04:00,14009.25,13986.5,1,SL Yellow,5,,,-22.75,-455.0,2021-04-15
2021-04-16 05:40:00-04:00,2021-04-16 08:00:00-04:00,13992.5,14052.25,2,Force Close,7,,,59.75,2390.0,2021-04-16
2021-04-18 19:00:00-04:00,2021-04-19 04:00:00-04:00,14002.0,14027.75,1,SL Yellow,27,,,25.75,515.0,2021-04-18
2021-04-19 04:40:00-04:00,2021-04-19 06:20:00-04:00,14032.25,14011.0,1,SL Yellow,5,,,-21.25,-425.0,2021-04-19
