config,sl_mult,tp_mult,R_$,p_funded,p_pass_any,p_bust,p_timeout,avg_days_pass,avg_days_any,P>=3/10,P>=4/10,E_days_to_3_at_2_slots
Symmetric 1:1,1.5,1.5,500,0.23190546528803546,0.2466765140324963,0.6107828655834564,0.14254062038404727,17.098726114649683,17.56351550960118,0.4195385440357104,0.18348152316168487,113.60350318471338
Symmetric 1:1,1.5,1.5,600,0.2917282127031019,0.3064992614475628,0.6152141802067946,0.07828655834564253,14.825316455696203,15.046528803545051,0.5948481109482733,0.328459201678492,77.36582278481013
Symmetric 1:1,1.5,1.5,750,0.29246676514032494,0.29246676514032494,0.689807976366322,0.01772525849335303,10.856060606060606,9.935007385524372,0.5968690507417691,0.3304049397466901,50.95454545454545
Symmetric 1:1,1.5,1.5,1000,0.31388478581979323,0.31388478581979323,0.6861152141802068,0.0,7.091764705882353,6.3397341211226,0.6533798993441677,0.38775340497796246,30.29647058823529
HighWR LowRR ,1.5,0.5,200,0.0,0.0,0.008118081180811807,0.9918819188191882,,29.738745387453875,0.0,0.0,inf
HighWR LowRR ,1.5,0.5,300,0.0,0.0,0.03099630996309963,0.9690036900369003,,29.436162361623616,0.0,0.0,inf
HighWR LowRR ,1.5,0.5,400,0.005904059040590406,0.00959409594095941,0.07084870848708487,0.9195571955719557,24.0,29.03468634686347,2.3941642980409685e-05,2.480226503129346e-07,7376.625
HighWR LowRR ,1.5,0.5,500,0.025830258302583026,0.035424354243542434,0.1881918819188192,0.7763837638376384,21.257142857142856,27.411070110701107,0.0018044064254015377,8.249841881081537e-05,1591.8
HighWR LowRR ,1.5,0.5,600,0.06051660516605166,0.07380073800738007,0.2907749077490775,0.6354243542435425,20.621951219512194,25.4,0.019274910569017735,0.002094692316954457,629.5792682926829
HighWR LowRR ,1.5,0.5,750,0.15498154981549817,0.15940959409594097,0.4819188191881919,0.3586715867158672,20.6,21.157933579335793,0.1928993412603767,0.055468379778840525,204.7785714285714
HighWR LowRR ,1.5,0.5,1000,0.3107011070110701,0.3107011070110701,0.5867158671586716,0.1025830258302583,17.524940617577197,14.899630996309963,0.6452482885014711,0.3791373570774584,71.93230403800474
Best-Gross   ,1.25,3.0,200,0.038433111603843315,0.05617147080561715,0.25055432372505543,0.6932742054693274,24.51923076923077,27.232076866223206,0.005558046735802194,0.00038013805390060975,1062.8365384615383
Best-Gross   ,1.25,3.0,300,0.19290465631929046,0.20620842572062084,0.4656319290465632,0.328159645232816,20.386973180076627,21.85070214338507,0.3008790250400649,0.10871005137616982,169.9080459770115
Best-Gross   ,1.25,3.0,400,0.29490022172949004,0.30672579453067256,0.5698447893569845,0.12342941611234294,16.651629072681704,16.50258684405026,0.6034954517043644,0.336833784493744,83.93984962406014
Best-Gross   ,1.25,3.0,500,0.3229859571322986,0.3340724316334072,0.6252771618625277,0.04065040650406504,13.157894736842104,12.51071692535107,0.6760766353299276,0.4124945396375439,58.10183066361555
Best-Gross   ,1.25,3.0,600,0.2631189948263119,0.27420546932742057,0.7198817442719881,0.005912786400591279,11.77808988764045,10.331855136733186,0.513417278314249,0.25553625661672,58.90028089887641
Best-Gross   ,1.25,3.0,750,0.17442719881744273,0.17516629711751663,0.8211382113821138,0.003695491500369549,8.944915254237289,7.035476718403547,0.2467189460555512,0.08025832877085712,60.502118644067785
Best-Gross   ,1.25,3.0,1000,0.12269031781226904,0.12269031781226904,0.8765705838876571,0.0007390983000739098,6.9879518072289155,5.347376201034738,0.11444772763484345,0.02579694441985746,65.37650602409639
Tight SL     ,1.0,1.5,200,0.013284132841328414,0.028044280442804426,0.17859778597785977,0.7933579335793358,24.88888888888889,28.26789667896679,0.0002623024515991841,6.133990043281208e-06,3191.9166666666665
Tight SL     ,1.0,1.5,300,0.10922509225092251,0.12103321033210332,0.46273062730627307,0.41623616236162364,20.743243243243242,23.31070110701107,0.08695644630500224,0.017370052452735683,320.12837837837833
Tight SL     ,1.0,1.5,400,0.21033210332103322,0.22140221402214022,0.6132841328413284,0.16531365313653137,18.449122807017545,18.179335793357932,0.35357127550572215,0.13977047951981922,129.64736842105262
Tight SL     ,1.0,1.5,500,0.2974169741697417,0.3077490774907749,0.6413284132841328,0.05092250922509225,15.88089330024814,13.960885608856088,0.6102955046326654,0.34351009713590824,70.4106699751861
Tight SL     ,1.0,1.5,600,0.3210332103321033,0.3298892988929889,0.6583025830258302,0.011808118081180811,13.057471264367816,10.994833948339483,0.6712765417848731,0.4071750488522095,51.37241379310345
Tight SL     ,1.0,1.5,750,0.2892988929889299,0.2892988929889299,0.7107011070110701,0.0,8.22704081632653,7.070848708487085,0.5881688927525124,0.3220776971637831,36.661989795918366
Tight SL     ,1.0,1.5,1000,0.2199261992619926,0.2199261992619926,0.7800738007380074,0.0,6.26510067114094,4.977859778597786,0.38289383036299224,0.15852527207867734,33.9513422818792
