R,N_per_day,p_funded,p_pass_any,p_bust,p_timeout,avg_days_to_pass,P>=3/10,P>=4/10,E[funded]
600,5,0.13805,0.13805,0.86195,0.0,7.44712060847519,0.1497715272467985,0.038171321064379746,1.3805
600,8,0.120825,0.120825,0.879175,0.0,5.77508793709911,0.11043588443648725,0.02449912594627057,1.20825
600,10,0.10035,0.10035,0.89965,0.0,5.362232187344295,0.07079476877302664,0.012952080804271463,1.0034999999999998
600,15,0.057975,0.057975,0.942025,0.0,5.149202242345838,0.017180449261492974,0.0017868379124174876,0.57975
600,20,0.050725,0.050725,0.949275,0.0,4.655495317890587,0.01196462267570329,0.001085554017401206,0.50725
750,1,0.31575,0.31575,0.682675,0.001575,9.177988915281077,0.6580982660103357,0.39281187822097374,3.1574999999999998
750,3,0.141575,0.141575,0.858425,0.0,6.834539996468303,0.1584150132888616,0.04144960074038954,1.41575
750,5,0.09565,0.09565,0.90435,0.0,5.849973863042342,0.06290116110375622,0.010950393418334496,0.9565
750,8,0.077725,0.077725,0.922275,0.0,4.8015439047925375,0.03720929632423857,0.0052287047380863904,0.77725
750,10,0.0615,0.0615,0.9385,0.0,4.572764227642277,0.020123001182126874,0.0022232690407443033,0.615
750,15,0.03225,0.03225,0.96775,0.0,4.394573643410853,0.00339400086555283,0.00019427580392735095,0.3225
750,20,0.027575,0.027575,0.972425,0.0,4.104261106074342,0.002175051418602002,0.00010624136379960469,0.27575
1000,1,0.2936,0.2936,0.7064,0.0,5.009707084468665,0.599961113685025,0.3333954337070749,2.9360000000000004
1000,3,0.107025,0.107025,0.892975,0.0,4.237094136883906,0.08280004036681542,0.016194238905379278,1.07025
1000,5,0.059575,0.059575,0.940425,0.0,4.066302979437683,0.018482618724414434,0.0019765914079568803,0.59575
1000,8,0.035725,0.035725,0.964275,0.0,4.053883834849545,0.004528950931407658,0.00028759900555183886,0.35725
1000,10,0.027375,0.027375,0.972625,0.0,3.904109589041096,0.0021303301093216435,0.00010329333425689267,0.27375
1000,15,0.013175,0.013175,0.986825,0.0,3.7362428842504745,0.0002560382735490059,5.9380265592356785e-06,0.13174999999999998
1000,20,0.009625,0.009625,0.990375,0.0,3.672727272727273,0.0001017163241339423,1.7206659940564528e-06,0.09625
1200,1,0.2936,0.2936,0.7064,0.0,5.009707084468665,0.599961113685025,0.3333954337070749,2.9360000000000004
1200,3,0.107025,0.107025,0.892975,0.0,4.237094136883906,0.08280004036681542,0.016194238905379278,1.07025
1200,5,0.059575,0.059575,0.940425,0.0,4.066302979437683,0.018482618724414434,0.0019765914079568803,0.59575
1200,8,0.035725,0.035725,0.964275,0.0,4.053883834849545,0.004528950931407658,0.00028759900555183886,0.35725
1200,10,0.027375,0.027375,0.972625,0.0,3.904109589041096,0.0021303301093216435,0.00010329333425689267,0.27375
1200,15,0.013175,0.013175,0.986825,0.0,3.7362428842504745,0.0002560382735490059,5.9380265592356785e-06,0.13174999999999998
1200,20,0.009625,0.009625,0.990375,0.0,3.672727272727273,0.0001017163241339423,1.7206659940564528e-06,0.09625
